city,taluka,area
Wardha,Wardha North,Rajavihar Phase-2
Beed,Beed North,Rampur Residential
Latur,Latur East,Worli Society
Nanded,Nanded West,Shreebagh South
Parbhani,Parbhani Taluka-2,Bandra Layout
Raigad,Raigad North,Ramgaon Industrial
Ratnagiri,Ratnagiri West,Gardenbasti Residential
Sindhudurg,Sindhudurg Taluka-3,Shivaji Nagar Society
Palghar,Palghar North,Netajibagh Phase-1
Buldhana,Buldhana Taluka-1,Greenpura Extension
Nandurbar,Nandurbar Taluka-1,Shivaji Nagar Road
Dhule,Dhule Urban,Wanowrie Market
Jalna,Jalna Taluka-1,Andheri Layout
Osmanabad,Osmanabad West,Nigdi Market
Hingoli,Hingoli East,Bavdhan
Washim,Washim Urban,Vasantbagh West
Yavatmal,Yavatmal Rural,Fursungi Bazar
Bhandara,Bhandara Taluka-3,Fursungi Road
Gondia,Gondia Urban,Akurdi
Gadchiroli,Gadchiroli Urban,Ramgaon West
Chandrapur,Chandrapur Central,Prakashmandi South
Bid,Bid Taluka-2,Sus Layout
Miraj,Miraj Central,Borivali
Ichalkaranji,Ichalkaranji Urban,Newchowk South
Pandharpur,Pandharpur South,Hadapsar Road
Pune,Pune Taluka-3,Bandra Bazar
Mumbai,Mumbai Urban,Koregaon Park Bazar 8
Nagpur,Nagpur South,Gardenmandi South
Nashik,Nashik North,Kalyani Nagar Layout
Aurangabad,Aurangabad South,Colaba Layout
Kolhapur,Kolhapur South,Narhe Layout
Solapur,Solapur West,Magarpatta Bazar 2
Sangli,Sangli Urban,Riverpur East 19
Satara,Satara West,Shantilayout Central
Jalgaon,Jalgaon South,Lower Parel Bazar
Amravati,Amravati East,Krishnachowk Residential
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Dhayari Nagar
Thane,Thane Central,Manjari Bazar
Navi Mumbai,Navi Mumbai East,Greennagar Residential 9
Akola,Akola East,Khar Society
Wardha,Wardha Taluka-1,Shantilayout Phase-1
Beed,Beed Urban,Nigdi Bazar
Latur,Latur Urban,Lohegaon Market
Nanded,Nanded West,Sagarpeth East
Parbhani,Parbhani West,Anandwadi Central
Raigad,Raigad North,Shivaji Nagar Road
Ratnagiri,Ratnagiri Taluka-2,Santbagh Central
Sindhudurg,Sindhudurg West,Fursungi Bazar
Palghar,Palghar South,Bandra Market
Buldhana,Buldhana West,Krishnapura Phase-1
Nandurbar,Nandurbar East,Kondhwa Bazar
Dhule,Dhule West,Katraj Nagar
Jalna,Jalna Taluka-1,Yerawada Colony
Osmanabad,Osmanabad West,Shivaji Nagar Society 16
Hingoli,Hingoli Taluka-2,Worli Market
Washim,Washim Taluka-2,Andheri Nagar
Yavatmal,Yavatmal Taluka-3,Narhe
Bhandara,Bhandara Central,Santpeth Residential
Gondia,Gondia North,Ghatkopar Society
Gadchiroli,Gadchiroli East,Greenvihar Extension
Chandrapur,Chandrapur Central,Saimandi West
Bid,Bid Central,Udaypeth Industrial
Miraj,Miraj Taluka-1,Ganeshbagh North
Ichalkaranji,Ichalkaranji Rural,Colaba
Pandharpur,Pandharpur Rural,Camp Society
Pune,Pune Central,Pimpri Society
Mumbai,Mumbai Urban,Andheri Market
Nagpur,Nagpur South,Worli
Nashik,Nashik South,Shantimarket North 12
Aurangabad,Aurangabad Central,Hinjawadi Layout
Kolhapur,Kolhapur South,Bhosari Bazar 13
Solapur,Solapur South,Koregaon Park Layout 13
Sangli,Sangli Central,Kurla
Satara,Satara Rural,Rajgalli South
Jalgaon,Jalgaon West,Kharadi Layout
Amravati,Amravati East,Gardenchowk East
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Nigdi Market 10
Thane,Thane South,Shreegaon North
Navi Mumbai,Navi Mumbai South,Pashan Market
Akola,Akola Urban,Rajbasti Extension
Wardha,Wardha East,Santgalli South
Beed,Beed West,Prakashmarket Extension 13
Latur,Latur Urban,Pimple Saudagar Bazar
Nanded,Nanded South,Dadar Nagar 8
Parbhani,Parbhani Urban,Lohegaon Nagar
Raigad,Raigad Taluka-3,Gardenlayout Residential
Ratnagiri,Ratnagiri Central,Ganeshwadi East
Sindhudurg,Sindhudurg West,Ganeshpeth South
Palghar,Palghar South,Nigdi Society
Buldhana,Buldhana South,Gardenpeth Residential
Nandurbar,Nandurbar Taluka-1,Nigdi Colony
Dhule,Dhule Rural,Ganeshchowk Extension
Jalna,Jalna Central,Pashan Colony
Osmanabad,Osmanabad North,Wagholi 11
Hingoli,Hingoli Taluka-3,Prakashmandi South 18
Washim,Washim Urban,Shivaji Nagar Nagar
Yavatmal,Yavatmal Rural,Kalyani Nagar Market
Bhandara,Bhandara East,Worli
Gondia,Gondia North,Oldmandi Extension 9
Gadchiroli,Gadchiroli Taluka-2,Manjari Road
Chandrapur,Chandrapur Central,Nigdi Road
Bid,Bid East,Saibasti Phase-1
Miraj,Miraj Taluka-1,Saibagh Industrial
Ichalkaranji,Ichalkaranji Urban,Sus Road
Pandharpur,Pandharpur Rural,Ramwadi Central
Pune,Pune Taluka-2,Bandra Layout
Mumbai,Mumbai Taluka-3,Colaba Road
Nagpur,Nagpur West,Shivaji Nagar Society
Nashik,Nashik South,Juhu Road
Aurangabad,Aurangabad North,Netajiwadi Residential 3
Kolhapur,Kolhapur Taluka-1,Chembur Nagar
Solapur,Solapur South,Lohegaon Nagar
Sangli,Sangli Urban,Worli Society
Satara,Satara West,Riverpur Extension 17
Jalgaon,Jalgaon Central,Fursungi Colony
Amravati,Amravati West,Netajipeth Central
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Vasantlayout Phase-2
Thane,Thane Taluka-2,Bandra Layout 9
Navi Mumbai,Navi Mumbai North,Netajinagar North
Akola,Akola Urban,Chembur 17
Wardha,Wardha Taluka-3,Narhe Nagar
Beed,Beed Central,Vasantmandi Phase-2 2
Latur,Latur Taluka-1,Borivali
Nanded,Nanded South,Hinjawadi Bazar
Parbhani,Parbhani Urban,Mulund Road
Raigad,Raigad West,Kurla Bazar
Ratnagiri,Ratnagiri Central,Ambegaon 10
Sindhudurg,Sindhudurg Taluka-1,Vasantpur Central
Palghar,Palghar Urban,Hinjawadi Market
Buldhana,Buldhana North,Worli Nagar 2
Nandurbar,Nandurbar West,Aundh Nagar
Dhule,Dhule East,Dadar Society
Jalna,Jalna Taluka-1,Yerawada Market
Osmanabad,Osmanabad North,Netajipeth Industrial
Hingoli,Hingoli Taluka-3,Ambegaon Road
Washim,Washim East,Oldpura North 4
Yavatmal,Yavatmal Rural,Khar Nagar
Bhandara,Bhandara East,Santgaon West
Gondia,Gondia Taluka-1,Kalyani Nagar Road
Gadchiroli,Gadchiroli West,Mulund Bazar
Chandrapur,Chandrapur Taluka-3,Riverpura Extension
Bid,Bid Urban,Dadar Layout
Miraj,Miraj Taluka-2,Kasba Peth Road
Ichalkaranji,Ichalkaranji Taluka-2,Nigdi Layout 3
Pandharpur,Pandharpur East,Bhosari Bazar
Pune,Pune Urban,Byculla Colony
Mumbai,Mumbai Taluka-2,Kothrud Bazar 11
Nagpur,Nagpur Taluka-2,Hadapsar
Nashik,Nashik South,Hillmarket Phase-2
Aurangabad,Aurangabad North,Gandhivihar Extension
Kolhapur,Kolhapur Rural,Gardenpura West
Solapur,Solapur South,Rajpur Phase-2
Sangli,Sangli Central,Worli Market
Satara,Satara Central,Anandchowk Industrial
Jalgaon,Jalgaon North,Bhosari Nagar
Amravati,Amravati Taluka-3,Worli Society
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Hadapsar Colony
Thane,Thane Central,Shivaji Nagar Market
Navi Mumbai,Navi Mumbai North,Ganeshmarket Phase-1
Akola,Akola Central,Vasantmandi North
Wardha,Wardha Taluka-3,Ghatkopar Market
Beed,Beed Urban,Kurla Colony
Latur,Latur Taluka-2,Prakashbagh South
Nanded,Nanded South,Prakashbagh South
Parbhani,Parbhani West,Rajagalli Central
Raigad,Raigad North,Viman Nagar Colony
Ratnagiri,Ratnagiri West,Saichowk Residential
Sindhudurg,Sindhudurg Taluka-3,Hilllayout West
Palghar,Palghar South,Kasba Peth Market
Buldhana,Buldhana Urban,Oldlayout Residential
Nandurbar,Nandurbar East,Ambegaon Nagar
Dhule,Dhule Taluka-2,Balewadi Nagar
Jalna,Jalna Central,Santnagar Central
Osmanabad,Osmanabad North,Santgalli Residential
Hingoli,Hingoli Rural,Shivpur South
Washim,Washim Taluka-3,Koregaon Park Colony
Yavatmal,Yavatmal West,Dadar Bazar 16
Bhandara,Bhandara West,Dadar Colony
Gondia,Gondia North,Borivali Nagar
Gadchiroli,Gadchiroli North,Worli Road
Chandrapur,Chandrapur Taluka-2,Undri
Bid,Bid Taluka-2,Bhosari Nagar
Miraj,Miraj Taluka-3,Aundh Nagar
Ichalkaranji,Ichalkaranji Urban,Udaygalli Extension
Pandharpur,Pandharpur Rural,Lower Parel Market
Pune,Pune South,Sagarchowk North
Mumbai,Mumbai Rural,Rajanagar Central
Nagpur,Nagpur West,Gayatricolony Central
Nashik,Nashik Urban,FC Road
Aurangabad,Aurangabad Urban,Khar
Kolhapur,Kolhapur Central,Byculla Nagar
Solapur,Solapur Central,Gandhipura North
Sangli,Sangli Urban,Byculla Layout
Satara,Satara North,Bandra Market
Jalgaon,Jalgaon West,Yerawada Layout
Amravati,Amravati Taluka-3,Shreebasti Residential
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Netajimandi Industrial
Thane,Thane Central,Ramchowk Industrial
Navi Mumbai,Navi Mumbai Taluka-2,Santlayout Phase-2
Akola,Akola Urban,Aundh Colony
Wardha,Wardha West,Akurdi
Beed,Beed West,Netajibagh West
Latur,Latur Taluka-2,Lower Parel Layout
Nanded,Nanded Taluka-2,Hadapsar Bazar
Parbhani,Parbhani West,Khar Layout
Raigad,Raigad Taluka-3,Rajbasti Residential
Ratnagiri,Ratnagiri West,Rajawadi Residential
Sindhudurg,Sindhudurg West,Anandpeth Phase-1
Palghar,Palghar North,Anandbasti North
Buldhana,Buldhana North,Kharadi Market
Nandurbar,Nandurbar West,Lohegaon Nagar
Dhule,Dhule East,Pimpri Road
Jalna,Jalna Taluka-1,Khar Society
Osmanabad,Osmanabad Taluka-1,Yerawada Road
Hingoli,Hingoli East,Khar Market
Washim,Washim Urban,Kothrud Road
Yavatmal,Yavatmal Urban,Yerawada Colony
Bhandara,Bhandara West,Rampur South
Gondia,Gondia Rural,Dadar Layout
Gadchiroli,Gadchiroli Taluka-2,Viman Nagar Market
Chandrapur,Chandrapur Taluka-3,Riverpura Phase-2 1
Bid,Bid Urban,Lower Parel Layout
Miraj,Miraj Taluka-2,Dadar
Ichalkaranji,Ichalkaranji North,Rajbagh South
Pandharpur,Pandharpur North,Narhe Road
Pune,Pune Central,Fursungi Bazar
Mumbai,Mumbai Taluka-3,Vile Parle Nagar
Nagpur,Nagpur South,Santgalli Extension
Nashik,Nashik Central,Narhe Road
Aurangabad,Aurangabad Urban,Kothrud Layout
Kolhapur,Kolhapur Taluka-3,Viman Nagar Nagar
Solapur,Solapur Taluka-1,Mulund Market
Sangli,Sangli Taluka-3,Kondhwa Bazar 13
Satara,Satara Rural,Newmandi Extension 10
Jalgaon,Jalgaon Taluka-1,Lower Parel Bazar
Amravati,Amravati Central,Krishnawadi Central
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Ambegaon
Thane,Thane East,Koregaon Park Road
Navi Mumbai,Navi Mumbai Taluka-1,Vijaylayout Phase-2
Akola,Akola Central,Chinchwad Society
Wardha,Wardha West,Nigdi Market
Beed,Beed Rural,Bavdhan 11
Latur,Latur East,Kalyani Nagar Market
Nanded,Nanded Central,Ambegaon Layout
Parbhani,Parbhani West,Greenbagh Phase-2
Raigad,Raigad West,Kurla Road
Ratnagiri,Ratnagiri Central,Udaylayout East
Sindhudurg,Sindhudurg West,Prakashgalli Phase-2
Palghar,Palghar Urban,Viman Nagar Society
Buldhana,Buldhana North,Ghatkopar Road
Nandurbar,Nandurbar West,Kalyani Nagar Society
Dhule,Dhule West,Borivali Bazar
Jalna,Jalna South,Hillgaon Phase-1
Osmanabad,Osmanabad North,Yerawada Market
Hingoli,Hingoli East,Katraj Layout
Washim,Washim Urban,Vijaymarket Central
Yavatmal,Yavatmal Urban,Anandgaon Residential
Bhandara,Bhandara North,Colaba Layout
Gondia,Gondia Rural,Gandhicolony Industrial
Gadchiroli,Gadchiroli Central,Koregaon Park Road
Chandrapur,Chandrapur Central,Udaybagh South
Bid,Bid Central,Anandpur North 19
Miraj,Miraj West,Worli Colony
Ichalkaranji,Ichalkaranji Rural,Dhayari Bazar 5
Pandharpur,Pandharpur South,Shreevihar Residential
Pune,Pune West,Rajpura Central
Mumbai,Mumbai Rural,Oldmarket East
Nagpur,Nagpur West,Hadapsar
Nashik,Nashik South,Shreecolony Central
Aurangabad,Aurangabad South,Bandra Road
Kolhapur,Kolhapur Central,Lower Parel Bazar
Solapur,Solapur Rural,Rajapur South
Sangli,Sangli Central,Narhe Layout
Satara,Satara West,Prakashpur Phase-2
Jalgaon,Jalgaon Central,Dadar Society
Amravati,Amravati Taluka-3,Ambegaon Road
Pimpri-Chinchwad,Pimpri-Chinchwad North,Camp
Thane,Thane East,Pashan Nagar
Navi Mumbai,Navi Mumbai Rural,Nigdi Colony 4
Akola,Akola Urban,Ambegaon Layout
Wardha,Wardha Rural,Rajpura Phase-2
Beed,Beed North,Narhe Nagar
Latur,Latur East,Prakashchowk South
Nanded,Nanded Central,Rammarket Residential
Parbhani,Parbhani Taluka-2,Akurdi Road 18
Raigad,Raigad North,Wanowrie Market
Ratnagiri,Ratnagiri Taluka-1,Wagholi Bazar 17
Sindhudurg,Sindhudurg South,Rajawadi Phase-1
Palghar,Palghar Urban,Kurla Layout
Buldhana,Buldhana Taluka-1,Baner Colony
Nandurbar,Nandurbar East,Ghatkopar Road
Dhule,Dhule Taluka-2,Ramcolony Residential 14
Jalna,Jalna Rural,Vasantchowk Industrial
Osmanabad,Osmanabad Taluka-3,Bhosari Society 18
Hingoli,Hingoli Taluka-3,Netajipeth North
Washim,Washim Taluka-3,Juhu Colony
Yavatmal,Yavatmal West,Rajachowk Phase-1
Bhandara,Bhandara Central,Oldbagh Extension
Gondia,Gondia Taluka-1,Udaygalli West 14
Gadchiroli,Gadchiroli Urban,Shivgaon South 20
Chandrapur,Chandrapur East,Kurla
Bid,Bid Urban,Shivaji Nagar Colony
Miraj,Miraj Taluka-3,Koregaon Park Colony
Ichalkaranji,Ichalkaranji East,Khar Nagar
Pandharpur,Pandharpur Taluka-2,Hillgaon Industrial
Pune,Pune Urban,Andheri Market
Mumbai,Mumbai Taluka-2,Kothrud Nagar
Nagpur,Nagpur Taluka-1,Gayatribasti Industrial
Nashik,Nashik East,Mulund Bazar
Aurangabad,Aurangabad Urban,Vile Parle Market
Kolhapur,Kolhapur Rural,Manjari Market
Solapur,Solapur West,Lower Parel Road
Sangli,Sangli Central,Juhu Colony 13
Satara,Satara West,Newgalli Phase-2
Jalgaon,Jalgaon Central,Dhayari Layout
Amravati,Amravati Central,Kharadi Road
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Anandmandi South
Thane,Thane East,Khar Layout
Navi Mumbai,Navi Mumbai South,Nigdi Bazar
Akola,Akola Urban,Gayatricolony South
Wardha,Wardha East,Shivaji Nagar Market 18
Beed,Beed Rural,Manjari Layout
Latur,Latur Taluka-2,Akurdi Colony
Nanded,Nanded South,Magarpatta Bazar
Parbhani,Parbhani Rural,Shreewadi Phase-1
Raigad,Raigad North,Saimarket East
Ratnagiri,Ratnagiri Taluka-2,Shantinagar East
Sindhudurg,Sindhudurg Taluka-1,Kalyani Nagar
Palghar,Palghar Taluka-1,Borivali Bazar
Buldhana,Buldhana Rural,Lohegaon Society 17
Nandurbar,Nandurbar Taluka-2,Koregaon Park
Dhule,Dhule South,Prakashcolony North 4
Jalna,Jalna Rural,Borivali Layout
Osmanabad,Osmanabad Central,Rampura Industrial
Hingoli,Hingoli Taluka-3,Oldpur West
Washim,Washim Taluka-2,Bhosari Society
Yavatmal,Yavatmal West,Anandwadi West
Bhandara,Bhandara Central,Gayatrimandi West
Gondia,Gondia Central,Ghatkopar Bazar
Gadchiroli,Gadchiroli Taluka-2,Vijaycolony Phase-1
Chandrapur,Chandrapur East,Yerawada
Bid,Bid East,Anandlayout Industrial
Miraj,Miraj North,Camp Society
Ichalkaranji,Ichalkaranji East,Chembur Market
Pandharpur,Pandharpur North,Hillbasti Extension 14
Pune,Pune West,Gayatrimandi Phase-2
Mumbai,Mumbai Taluka-2,Gayatrinagar Central
Nagpur,Nagpur Taluka-1,Katraj Society
Nashik,Nashik West,Bhosari Road
Aurangabad,Aurangabad North,Anandpeth West
Kolhapur,Kolhapur Taluka-3,Gardenwadi Industrial
Solapur,Solapur Urban,Kondhwa Bazar
Sangli,Sangli Central,Pimpri Market
Satara,Satara North,Pimpri Nagar
Jalgaon,Jalgaon West,Shivpur Industrial
Amravati,Amravati Central,Greencolony South
Pimpri-Chinchwad,Pimpri-Chinchwad North,Shreewadi Central
Thane,Thane Taluka-3,Viman Nagar Society
Navi Mumbai,Navi Mumbai North,Aundh Nagar
Akola,Akola Taluka-2,Sagarmandi Phase-2
Wardha,Wardha Taluka-2,Baner Society
Beed,Beed Rural,Dhayari Bazar
Latur,Latur Taluka-1,Bandra Colony
Nanded,Nanded Taluka-3,Gayatripur Residential
Parbhani,Parbhani Taluka-3,Bhosari Layout
Raigad,Raigad Urban,Akurdi Colony
Ratnagiri,Ratnagiri West,Greennagar Residential
Sindhudurg,Sindhudurg Taluka-1,Koregaon Park Road
Palghar,Palghar Taluka-1,Santchowk Central
Buldhana,Buldhana South,Prakashvihar West
Nandurbar,Nandurbar Urban,Ambegaon Society
Dhule,Dhule Taluka-1,Anandcolony Phase-1
Jalna,Jalna South,Camp Nagar
Osmanabad,Osmanabad Taluka-2,Lower Parel Society
Hingoli,Hingoli Taluka-1,Krishnapeth East 8
Washim,Washim Urban,Ambegaon Bazar
Yavatmal,Yavatmal Rural,Santpura East
Bhandara,Bhandara North,Pimpri Road
Gondia,Gondia Taluka-3,Kondhwa Nagar
Gadchiroli,Gadchiroli Central,Katraj Bazar 15
Chandrapur,Chandrapur Taluka-2,Bavdhan Road 11
Bid,Bid Urban,Shreecolony South
Miraj,Miraj Taluka-2,Lohegaon Society
Ichalkaranji,Ichalkaranji Central,Gardenwadi North
Pandharpur,Pandharpur Urban,Chembur Colony
Pune,Pune Taluka-3,Vile Parle Colony
Mumbai,Mumbai Rural,Byculla Market
Nagpur,Nagpur West,FC Road Bazar
Nashik,Nashik West,Bhosari Society
Aurangabad,Aurangabad North,Narhe Market
Kolhapur,Kolhapur South,Lakepeth North
Solapur,Solapur Rural,Hadapsar Nagar
Sangli,Sangli Taluka-3,Bandra Market
Satara,Satara North,Dadar Market
Jalgaon,Jalgaon Taluka-1,Hadapsar Nagar
Amravati,Amravati Taluka-3,Katraj
Pimpri-Chinchwad,Pimpri-Chinchwad West,Greenmarket Residential
Thane,Thane Taluka-3,Sus Bazar
Navi Mumbai,Navi Mumbai Rural,Oldpur East
Akola,Akola East,Narhe Bazar
Wardha,Wardha Taluka-2,Pashan Nagar
Beed,Beed Urban,Rajamarket South
Latur,Latur Urban,Gardengalli South
Nanded,Nanded Taluka-2,Katraj Road
Parbhani,Parbhani North,Oldgaon Phase-2
Raigad,Raigad North,Shreemandi North
Ratnagiri,Ratnagiri West,Lakepura Phase-1
Sindhudurg,Sindhudurg Taluka-1,Vile Parle Layout
Palghar,Palghar North,Hillcolony West
Buldhana,Buldhana Taluka-1,Vijaylayout North
Nandurbar,Nandurbar Central,Vile Parle Nagar
Dhule,Dhule Taluka-1,Gandhibagh North
Jalna,Jalna Central,Gandhibagh West
Osmanabad,Osmanabad Taluka-1,Chembur Layout
Hingoli,Hingoli Taluka-1,Magarpatta Nagar
Washim,Washim Taluka-2,Rajachowk Extension
Yavatmal,Yavatmal Rural,Hinjawadi Colony
Bhandara,Bhandara North,Gayatrimarket Phase-2
Gondia,Gondia Taluka-2,Dhayari 15
Gadchiroli,Gadchiroli Taluka-2,Viman Nagar Bazar
Chandrapur,Chandrapur Central,Ghatkopar Market
Bid,Bid Central,Pashan Road
Miraj,Miraj North,Worli Market 10
Ichalkaranji,Ichalkaranji Central,Pimpri Road 16
Pandharpur,Pandharpur South,Shivaji Nagar Bazar 11
Pune,Pune Rural,Krishnabasti North
Mumbai,Mumbai Urban,Juhu Road 12
Nagpur,Nagpur South,Khar Market
Nashik,Nashik West,Undri
Aurangabad,Aurangabad Urban,Juhu Colony
Kolhapur,Kolhapur Taluka-2,Riverchowk Residential
Solapur,Solapur Urban,Santgalli West
Sangli,Sangli Urban,Hinjawadi Nagar
Satara,Satara South,Pimpri Colony
Jalgaon,Jalgaon Urban,Anandnagar Central
Amravati,Amravati Taluka-3,Chembur Society
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Prakashgaon Residential
Thane,Thane East,Bandra Road
Navi Mumbai,Navi Mumbai Rural,Gayatriwadi Industrial
Akola,Akola Urban,Kurla Market
Wardha,Wardha Taluka-1,Andheri Road 7
Beed,Beed Urban,Prakashvihar Phase-1
Latur,Latur East,Ambegaon Road
Nanded,Nanded Central,Vijaypeth Central 7
Parbhani,Parbhani Taluka-3,Yerawada Society
Raigad,Raigad West,Hinjawadi Colony 3
Ratnagiri,Ratnagiri Taluka-1,Borivali
Sindhudurg,Sindhudurg Taluka-1,Vile Parle Market
Palghar,Palghar South,Katraj Layout
Buldhana,Buldhana South,Vijaybasti West
Nandurbar,Nandurbar East,Hinjawadi Layout
Dhule,Dhule Urban,Lakechowk West
Jalna,Jalna Central,Akurdi Market
Osmanabad,Osmanabad Central,Lakechowk West
Hingoli,Hingoli East,Baner Colony 12
Washim,Washim Taluka-3,Shreecolony East
Yavatmal,Yavatmal Taluka-3,Camp Society
Bhandara,Bhandara North,Aundh Nagar 2
Gondia,Gondia Taluka-1,Undri
Gadchiroli,Gadchiroli Taluka-2,Rajgalli Central
Chandrapur,Chandrapur Taluka-3,Nigdi Colony
Bid,Bid Central,Oldbagh Extension
Miraj,Miraj Central,Vasantgaon Phase-1
Ichalkaranji,Ichalkaranji Central,Manjari
Pandharpur,Pandharpur Rural,Anandcolony East
Pune,Pune Urban,Gandhilayout Central 17
Mumbai,Mumbai Urban,Kothrud Market
Nagpur,Nagpur Taluka-2,Shivaji Nagar Society
Nashik,Nashik East,Chembur Road
Aurangabad,Aurangabad Central,Ambegaon Road
Kolhapur,Kolhapur Rural,Wakad Colony
Solapur,Solapur North,Byculla Society
Sangli,Sangli East,Sus Layout
Satara,Satara South,Khar Road
Jalgaon,Jalgaon South,Yerawada Society
Amravati,Amravati West,Newbagh Central
Pimpri-Chinchwad,Pimpri-Chinchwad South,Byculla Layout
Thane,Thane Taluka-2,Newlayout Extension
Navi Mumbai,Navi Mumbai Central,Gandhimarket East
Akola,Akola East,Shreenagar Industrial
Wardha,Wardha North,Oldpeth Residential 5
Beed,Beed Urban,Khar Colony
Latur,Latur East,Dadar Road
Nanded,Nanded South,Ramnagar West
Parbhani,Parbhani Rural,Wakad Road
Raigad,Raigad Rural,Narhe
Ratnagiri,Ratnagiri Taluka-1,Gandhibagh East
Sindhudurg,Sindhudurg South,Wagholi Market
Palghar,Palghar Taluka-1,Saimandi Phase-2
Buldhana,Buldhana West,Lohegaon Bazar 9
Nandurbar,Nandurbar West,Kharadi Colony
Dhule,Dhule Taluka-1,Balewadi Society
Jalna,Jalna Central,Colaba Bazar
Osmanabad,Osmanabad Rural,Hadapsar
Hingoli,Hingoli Taluka-3,Byculla Layout 16
Washim,Washim East,Oldwadi West
Yavatmal,Yavatmal South,Colaba
Bhandara,Bhandara Taluka-2,Byculla Society
Gondia,Gondia Taluka-2,Shreewadi South
Gadchiroli,Gadchiroli West,Lakenagar Extension
Chandrapur,Chandrapur Taluka-3,Kharadi Bazar
Bid,Bid East,Pimpri
Miraj,Miraj West,Fursungi
Ichalkaranji,Ichalkaranji Central,Gayatribasti North
Pandharpur,Pandharpur Taluka-3,Sainagar North
Pune,Pune Central,Hilllayout Extension
Mumbai,Mumbai West,Shantivihar Phase-2 10
Nagpur,Nagpur South,Viman Nagar Society
Nashik,Nashik South,Shreebasti Phase-1
Aurangabad,Aurangabad Central,Oldchowk Phase-2
Kolhapur,Kolhapur Taluka-3,Ghatkopar Layout
Solapur,Solapur Taluka-1,Ghatkopar Society
Sangli,Sangli Taluka-3,Bandra Nagar
Satara,Satara South,Ganeshcolony Residential
Jalgaon,Jalgaon North,Yerawada Market
Amravati,Amravati Central,Shantichowk Extension
Pimpri-Chinchwad,Pimpri-Chinchwad East,Ghatkopar Road
Thane,Thane Central,Baner
Navi Mumbai,Navi Mumbai East,Krishnabagh Industrial
Akola,Akola Urban,Fursungi Colony
Wardha,Wardha Taluka-2,Saipur East
Beed,Beed Urban,Viman Nagar Society
Latur,Latur Urban,Pimpri Nagar
Nanded,Nanded Central,Anandnagar Industrial
Parbhani,Parbhani Taluka-1,Krishnawadi East 7
Raigad,Raigad Taluka-3,Lohegaon Layout
